IDlist,GLOSS,VALUE,FORM,ID,NOTES,DOCULECT,SOURCE
1,mother,nii3,,1489,,copa11,hollenbach1992syntactic
2,"mother!, mom!",'na3nii3,,1490,,copa11,hollenbach1992syntactic
3,father,rex3,,1491,,copa11,hollenbach1992syntactic
4,"father!, dad!",'a3tax1,,1492,Sp. tata,copa11,hollenbach1992syntactic
5,"son/daughter, child",tahnii5,,1493,,copa11,hollenbach1992syntactic
6,son,$,,,,copa11,hollenbach1992syntactic
7,daughter,$,,,,copa11,hollenbach1992syntactic
8,cross-sex sibling,rahwix32,,1494,only translated as ‘brother of female’,copa11,hollenbach1992syntactic
9,brother of man,tinuu5,,1495,,copa11,hollenbach1992syntactic
10,sister of woman,shuhwix32,,1496,,copa11,hollenbach1992syntactic
11,aunt,tuhwe3,,1497,,copa11,hollenbach1992syntactic
12,uncle,tahnuh3,,1498,,copa11,hollenbach1992syntactic
13,man,chii3,,1499,,copa11,hollenbach1992syntactic
14,woman,sha3na1,,1500,,copa11,hollenbach1992syntactic
15,"owner, boss",$,,,there are multiple terms depending on what is owned,copa11,hollenbach1992syntactic
16,priest,shrex3,,1501,,copa11,hollenbach1992syntactic
17,blood,ton32,,1502,,copa11,hollenbach1992syntactic
18,bone,kuu5,,1503,,copa11,hollenbach1992syntactic
19,hair,$,,,,copa11,hollenbach1992syntactic
20,face,riaan32,,1504,,copa11,hollenbach1992syntactic
21,tongue,yaa32,,1505,,copa11,hollenbach1992syntactic
22,tooth,$,,,,copa11,hollenbach1992syntactic
23,mouth,tuhwa3,,1506,,copa11,hollenbach1992syntactic
24,ear,shree5,,1507,,copa11,hollenbach1992syntactic
25,nose,takuun5,,1508,,copa11,hollenbach1992syntactic
26,neck,shia4,,1509,,copa11,hollenbach1992syntactic
27,hand,raha3,,1510,,copa11,hollenbach1992syntactic
28,fingernail,$,,,,copa11,hollenbach1992syntactic
29,back,shraa5,,1511,,copa11,hollenbach1992syntactic
30,stomach,rke3,,1512,,copa11,hollenbach1992syntactic
31,"intestine, guts",$,,,,copa11,hollenbach1992syntactic
32,foot,takoo5,,1513,,copa11,hollenbach1992syntactic
32,feet,shehe4,,1514,,copa11,hollenbach1992syntactic
33,sickness,shihii31,,1515,,copa11,hollenbach1992syntactic
34,remedy,konoho4,,1516,,copa11,hollenbach1992syntactic
35,swelling,$,,,,copa11,hollenbach1992syntactic
36,pimple,$,,,,copa11,hollenbach1992syntactic
37,pus,$,,,,copa11,hollenbach1992syntactic
38,urine,$,,,,copa11,hollenbach1992syntactic
39,clothing,sa3ganh1,,1517,,copa11,hollenbach1992syntactic
39,"clothing, garment",yatsex5,,1518,,copa11,hollenbach1992syntactic
39,"clothing, garment",yatsix5,,1519,,copa11,hollenbach1992syntactic
40,"sandal, sandals",kanx3,,1520,,copa11,hollenbach1992syntactic
41,pants,$,,,,copa11,hollenbach1992syntactic
42,tunic,rohno4,,1521,,copa11,hollenbach1992syntactic
43,town,shumanh3,,1522,,copa11,hollenbach1992syntactic
44,house,weh3,,1523,,copa11,hollenbach1992syntactic
